simtime, targetX, targetY,  targetZ, currentX, currentY, currentZ
0.25,17.29,358.78,1354,12.56,358.69,1355
0.5,17.29,358.78,1354,12.5609,358.69,1355
0.75,17.29,358.78,1354,12.5609,358.69,1355
1,17.29,358.78,1354,12.5619,358.69,1355
1.25,17.29,358.78,1354,12.5619,358.69,1355
1.5,17.29,358.78,1354,12.5628,358.69,1355
1.75,17.29,358.78,1354,12.5628,358.69,1355
2,17.29,358.78,1354,12.5637,358.69,1355
2.25,17.29,358.78,1354,12.5637,358.69,1355
2.5,17.29,358.78,1354,12.5646,358.69,1355
2.75,17.29,358.78,1354,12.5646,358.69,1355
3,17.29,358.78,1354,12.5656,358.69,1355
3.25,17.29,358.78,1354,12.5656,358.69,1355
3.5,17.29,358.78,1354,12.5665,358.69,1355
3.75,17.29,358.78,1354,12.5665,358.69,1355
4,17.29,358.78,1354,12.5674,358.69,1355
4.25,17.29,358.78,1354,12.5674,358.69,1355
4.5,17.29,358.78,1354,12.5684,358.69,1355
4.75,17.29,358.78,1354,12.5684,358.69,1355
5,17.29,358.78,1354,12.5693,358.69,1355
5.25,17.29,358.78,1354,12.5693,358.69,1355
5.5,17.29,358.78,1354,12.5702,358.69,1355
5.75,17.29,358.78,1354,12.5702,358.69,1355
6,17.29,358.78,1354,12.5711,358.69,1355
6.25,17.29,358.78,1354,12.5711,358.69,1355
6.5,17.29,358.78,1354,12.5721,358.69,1355
6.75,17.29,358.78,1354,12.5721,358.69,1355
7,17.29,358.78,1354,12.573,358.69,1355
7.25,17.29,358.78,1354,12.573,358.69,1355
7.5,17.29,358.78,1354,12.5739,358.69,1355
7.75,17.29,358.78,1354,12.5739,358.69,1355
8,17.29,358.78,1354,12.5748,358.69,1355
8.25,17.29,358.78,1354,12.5748,358.69,1355
8.5,17.29,358.78,1354,12.5758,358.69,1355
8.75,17.29,358.78,1354,12.5758,358.69,1355
9,17.29,358.78,1354,12.5767,358.69,1355
9.25,17.29,358.78,1354,12.5767,358.69,1355
9.5,17.29,358.78,1354,12.5776,358.69,1355
9.75,17.29,358.78,1354,12.5776,358.69,1355
10,17.29,358.78,1354,12.5786,358.69,1355
10.25,17.29,358.78,1354,12.5786,358.69,1355
10.5,17.29,358.78,1354,12.5795,358.69,1355
10.75,17.29,358.78,1354,12.5795,358.69,1355
11,17.29,358.78,1354,12.5804,358.69,1355
11.25,17.29,358.78,1354,12.5804,358.69,1355
11.5,17.29,358.78,1354,12.5813,358.69,1355
11.75,17.29,358.78,1354,12.5813,358.69,1355
12,17.29,358.78,1354,12.5823,358.69,1355
12.25,17.29,358.78,1354,12.5823,358.69,1355
12.5,17.29,358.78,1354,12.5832,358.69,1355
12.75,17.29,358.78,1354,12.5832,358.69,1355
13,17.29,358.78,1354,12.5841,358.69,1354.99
13.25,17.29,358.78,1354,12.5841,358.69,1354.99
13.5,17.29,358.78,1354,12.5851,358.69,1354.99
13.75,17.29,358.78,1354,12.5851,358.69,1354.99
14,17.29,358.78,1354,12.586,358.69,1354.99
14.25,17.29,358.78,1354,12.586,358.69,1354.99
14.5,17.29,358.78,1354,12.5869,358.691,1354.99
14.75,17.29,358.78,1354,12.5869,358.691,1354.99
15,17.29,358.78,1354,12.5878,358.691,1354.99
15.25,17.29,358.78,1354,12.5878,358.691,1354.99
15.5,17.29,358.78,1354,12.5888,358.691,1354.99
15.75,17.29,358.78,1354,12.5888,358.691,1354.99
16,17.29,358.78,1354,12.5897,358.691,1354.99
16.25,17.29,358.78,1354,12.5897,358.691,1354.99
16.5,17.29,358.78,1354,12.5906,358.691,1354.99
16.75,17.29,358.78,1354,12.5906,358.691,1354.99
17,17.29,358.78,1354,12.5915,358.691,1354.99
17.25,17.29,358.78,1354,12.5915,358.691,1354.99
17.5,17.29,358.78,1354,12.5925,358.691,1354.99
17.75,17.29,358.78,1354,12.5925,358.691,1354.99
18,17.29,358.78,1354,12.5934,358.691,1354.99
18.25,17.29,358.78,1354,12.5934,358.691,1354.99
18.5,17.29,358.78,1354,12.5943,358.691,1354.99
18.75,17.29,358.78,1354,12.5943,358.691,1354.99
19,17.29,358.78,1354,12.5953,358.691,1354.99
19.25,17.29,358.78,1354,12.5953,358.691,1354.99
19.5,17.29,358.78,1354,12.5962,358.691,1354.99
19.75,17.29,358.78,1354,12.5962,358.691,1354.99
20,17.29,358.78,1354,12.5971,358.691,1354.99
20.25,17.29,358.78,1354,12.5971,358.691,1354.99
20.5,17.29,358.78,1354,12.598,358.691,1354.99
20.75,17.29,358.78,1354,12.598,358.691,1354.99
21,17.29,358.78,1354,12.599,358.691,1354.99
21.25,17.29,358.78,1354,12.599,358.691,1354.99
21.5,17.29,358.78,1354,12.5999,358.691,1354.99
21.75,17.29,358.78,1354,12.5999,358.691,1354.99
22,17.29,358.78,1354,12.6008,358.691,1354.99
22.25,17.29,358.78,1354,12.6008,358.691,1354.99
22.5,17.29,358.78,1354,12.6018,358.691,1354.99
22.75,17.29,358.78,1354,12.6018,358.691,1354.99
23,17.29,358.78,1354,12.6027,358.691,1354.99
23.25,17.29,358.78,1354,12.6027,358.691,1354.99
23.5,17.29,358.78,1354,12.6036,358.691,1354.99
23.75,17.29,358.78,1354,12.6036,358.691,1354.99
24,17.29,358.78,1354,12.6045,358.691,1354.99
24.25,17.29,358.78,1354,12.6045,358.691,1354.99
24.5,17.29,358.78,1354,12.6055,358.691,1354.99
24.75,17.29,358.78,1354,12.6055,358.691,1354.99
25,17.29,358.78,1354,12.6064,358.691,1354.99
25.25,17.29,358.78,1354,12.6064,358.691,1354.99
25.5,17.29,358.78,1354,12.6073,358.691,1354.99
25.75,17.29,358.78,1354,12.6073,358.691,1354.99
26,17.29,358.78,1354,12.6082,358.691,1354.99
26.25,17.29,358.78,1354,12.6082,358.691,1354.99
26.5,17.29,358.78,1354,12.6092,358.691,1354.99
